Z:\Grateful Dead\1995\gd1995-02-19.095443.schoeps.wklitz.t-flac16\gd1995-02-19d1t01.flac,['tuning']
Z:\Grateful Dead\1995\gd1995-02-19.095443.schoeps.wklitz.t-flac16\gd1995-02-19d1t02.flac,['Jack Straw']
Z:\Grateful Dead\1995\gd1995-02-19.095443.schoeps.wklitz.t-flac16\gd1995-02-19d1t03.flac,['Sugaree']
Z:\Grateful Dead\1995\gd1995-02-19.095443.schoeps.wklitz.t-flac16\gd1995-02-19d1t04.flac,['Walking Blues']
Z:\Grateful Dead\1995\gd1995-02-19.095443.schoeps.wklitz.t-flac16\gd1995-02-19d1t05.flac,['Alabama Getaway']
Z:\Grateful Dead\1995\gd1995-02-19.095443.schoeps.wklitz.t-flac16\gd1995-02-19d1t06.flac,['Me and My Uncle']
Z:\Grateful Dead\1995\gd1995-02-19.095443.schoeps.wklitz.t-flac16\gd1995-02-19d1t07.flac,['Big River']
Z:\Grateful Dead\1995\gd1995-02-19.095443.schoeps.wklitz.t-flac16\gd1995-02-19d1t08.flac,["Don't Ease Me In"]
Z:\Grateful Dead\1995\gd1995-02-19.095443.schoeps.wklitz.t-flac16\gd1995-02-19d1t09.flac,['tuning']
Z:\Grateful Dead\1995\gd1995-02-19.095443.schoeps.wklitz.t-flac16\gd1995-02-19d1t10.flac,['China Cat Sunflower']
Z:\Grateful Dead\1995\gd1995-02-19.095443.schoeps.wklitz.t-flac16\gd1995-02-19d1t11.flac,['I Know You Rider']
Z:\Grateful Dead\1995\gd1995-02-19.095443.schoeps.wklitz.t-flac16\gd1995-02-19d1t12.flac,['Samson and Delilah']
Z:\Grateful Dead\1995\gd1995-02-19.095443.schoeps.wklitz.t-flac16\gd1995-02-19d1t13.flac,['If the Shoe Fits']
Z:\Grateful Dead\1995\gd1995-02-19.095443.schoeps.wklitz.t-flac16\gd1995-02-19d2t01.flac,['New Speedway Boogie']
Z:\Grateful Dead\1995\gd1995-02-19.095443.schoeps.wklitz.t-flac16\gd1995-02-19d2t02.flac,['Estimated Prophet']
Z:\Grateful Dead\1995\gd1995-02-19.095443.schoeps.wklitz.t-flac16\gd1995-02-19d2t03.flac,['Drums/Space']
Z:\Grateful Dead\1995\gd1995-02-19.095443.schoeps.wklitz.t-flac16\gd1995-02-19d2t04.flac,['I Need a Miracle']
Z:\Grateful Dead\1995\gd1995-02-19.095443.schoeps.wklitz.t-flac16\gd1995-02-19d2t05.flac,['Attics of My Life']
Z:\Grateful Dead\1995\gd1995-02-19.095443.schoeps.wklitz.t-flac16\gd1995-02-19d2t06.flac,['Johnny B. Goode']
Z:\Grateful Dead\1995\gd1995-02-19.095443.schoeps.wklitz.t-flac16\gd1995-02-19d2t07.flac,['crowd']
Z:\Grateful Dead\1995\gd1995-02-19.095443.schoeps.wklitz.t-flac16\gd1995-02-19d2t08.flac,["It's All Over Now, Baby Blue"]
Z:\Grateful Dead\1995\gd1995-02-20.001297.sbd.sbeok.t-flac16\gd1995-02-20d1t01.flac,['Bertha']
Z:\Grateful Dead\1995\gd1995-02-20.001297.sbd.sbeok.t-flac16\gd1995-02-20d1t02.flac,['Greatest Story Ever Told']
Z:\Grateful Dead\1995\gd1995-02-20.001297.sbd.sbeok.t-flac16\gd1995-02-20d1t03.flac,['Loser']
Z:\Grateful Dead\1995\gd1995-02-20.001297.sbd.sbeok.t-flac16\gd1995-02-20d1t04.flac,['Little Red Rooster']
Z:\Grateful Dead\1995\gd1995-02-20.001297.sbd.sbeok.t-flac16\gd1995-02-20d1t05.flac,['Ramble On Rose']
Z:\Grateful Dead\1995\gd1995-02-20.001297.sbd.sbeok.t-flac16\gd1995-02-20d1t06.flac,['El Paso']
Z:\Grateful Dead\1995\gd1995-02-20.001297.sbd.sbeok.t-flac16\gd1995-02-20d1t07.flac,['Lazy River Road']
Z:\Grateful Dead\1995\gd1995-02-20.001297.sbd.sbeok.t-flac16\gd1995-02-20d1t08.flac,['Cassidy']
Z:\Grateful Dead\1995\gd1995-02-20.001297.sbd.sbeok.t-flac16\gd1995-02-20d2t01.flac,['Box of Rain']
Z:\Grateful Dead\1995\gd1995-02-20.001297.sbd.sbeok.t-flac16\gd1995-02-20d2t02.flac,['Eyes of the World']
Z:\Grateful Dead\1995\gd1995-02-20.001297.sbd.sbeok.t-flac16\gd1995-02-20d2t03.flac,['Playing in the Band']
Z:\Grateful Dead\1995\gd1995-02-20.001297.sbd.sbeok.t-flac16\gd1995-02-20d2t04.flac,["Uncle John's Band"]
Z:\Grateful Dead\1995\gd1995-02-20.001297.sbd.sbeok.t-flac16\gd1995-02-20d2t05.flac,['Drums']
Z:\Grateful Dead\1995\gd1995-02-20.001297.sbd.sbeok.t-flac16\gd1995-02-20d3t01.flac,['Space']
Z:\Grateful Dead\1995\gd1995-02-20.001297.sbd.sbeok.t-flac16\gd1995-02-20d3t02.flac,['The Last Time']
Z:\Grateful Dead\1995\gd1995-02-20.001297.sbd.sbeok.t-flac16\gd1995-02-20d3t03.flac,['Stella Blue']
Z:\Grateful Dead\1995\gd1995-02-20.001297.sbd.sbeok.t-flac16\gd1995-02-20d3t04.flac,['Throwing Stones']
Z:\Grateful Dead\1995\gd1995-02-20.001297.sbd.sbeok.t-flac16\gd1995-02-20d3t05.flac,['Not Fade Away']
Z:\Grateful Dead\1995\gd1995-02-20.001297.sbd.sbeok.t-flac16\gd1995-02-20d3t06.flac,['Rain']
Z:\Grateful Dead\1995\gd1995-02-20.138045.sbd.set2.unknown.sbefail.t-flac16\95-02-20 201 Box Of Rain.flac,['Box of Rain']
Z:\Grateful Dead\1995\gd1995-02-20.138045.sbd.set2.unknown.sbefail.t-flac16\95-02-20 202 Eyes Of The World.flac,['Eyes of the World >']
Z:\Grateful Dead\1995\gd1995-02-20.138045.sbd.set2.unknown.sbefail.t-flac16\95-02-20 203 Playin In The Band.flac,['Playing in the Band >']
Z:\Grateful Dead\1995\gd1995-02-20.138045.sbd.set2.unknown.sbefail.t-flac16\95-02-20 204 Uncle Johns Band.flac,["Uncle John's Band >"]
Z:\Grateful Dead\1995\gd1995-02-20.138045.sbd.set2.unknown.sbefail.t-flac16\95-02-20 205 Drums.flac,['Drums >']
Z:\Grateful Dead\1995\gd1995-02-20.138045.sbd.set2.unknown.sbefail.t-flac16\95-02-20 206 Space.flac,['Space >']
Z:\Grateful Dead\1995\gd1995-02-20.138045.sbd.set2.unknown.sbefail.t-flac16\95-02-20 207 Last Time.flac,['The Last Time >']
