Z:\Grateful Dead\1974\gd1974-02-22.114556.sbd.miller.t-flac16\gd1974-02-22s2t09.flac,['Going Down the Raod Feeling Bad']
Z:\Grateful Dead\1974\gd1974-02-22.114556.sbd.miller.t-flac16\gd1974-02-22s3t01.flac,['tuning']
Z:\Grateful Dead\1974\gd1974-02-22.114556.sbd.miller.t-flac16\gd1974-02-22s3t02.flac,['Mississippi Half-Step uptown Toodeloo']
Z:\Grateful Dead\1974\gd1974-02-22.114556.sbd.miller.t-flac16\gd1974-02-22s3t03.flac,['The Promised Land']
Z:\Grateful Dead\1974\gd1974-02-22.114556.sbd.miller.t-flac16\gd1974-02-22s3t04.flac,['Broke Down Palace']
Z:\Grateful Dead\1974\gd1974-02-22.114556.sbd.miller.t-flac16\gd1974-02-22s3t05.flac,['Jack Straw']
Z:\Grateful Dead\1974\gd1974-02-22.114556.sbd.miller.t-flac16\gd1974-02-22s3t06.flac,['Eyes of the World>']
Z:\Grateful Dead\1974\gd1974-02-22.114556.sbd.miller.t-flac16\gd1974-02-22s3t07.flac,['China Doll']
Z:\Grateful Dead\1974\gd1974-02-22.114556.sbd.miller.t-flac16\gd1974-02-22s3t08.flac,['Wharf  Rat>']
Z:\Grateful Dead\1974\gd1974-02-22.114556.sbd.miller.t-flac16\gd1974-02-22s3t09.flac,['Sugar Magnolia']
Z:\Grateful Dead\1974\gd1974-02-22.114556.sbd.miller.t-flac16\gd1974-02-22s3t10.flac,["Uncle John's Band"]
Z:\Grateful Dead\1974\gd1974-02-22.151721.sbd.miller.t-flac16\01 Let It Grow.flac,['Let It Grow']
Z:\Grateful Dead\1974\gd1974-02-22.151721.sbd.miller.t-flac16\02 They Love Each Other.flac,['They Love Each Other']
Z:\Grateful Dead\1974\gd1974-02-22.151721.sbd.miller.t-flac16\03 US Blues.flac,['US Blues']
Z:\Grateful Dead\1974\gd1974-02-22.151721.sbd.miller.t-flac16\04 US Blues.flac,['US Blues']
Z:\Grateful Dead\1974\gd1974-02-22.151721.sbd.miller.t-flac16\05 Attics Of My Life.flac,['Attics Of My Life']
Z:\Grateful Dead\1974\gd1974-02-22.151721.sbd.miller.t-flac16\06 It Must Have Been The Roses.flac,['It Must Have Been The Roses']
Z:\Grateful Dead\1974\gd1974-02-22.151721.sbd.miller.t-flac16\07 Estimated Prophet Jam.flac,['Estimated Prophet Jam']
