Z:\Grateful Dead\1989\gd1989-02-05.108689.sbd.walker.scotton.miller.t-flac16\gd1989-02-05d1t12.flac,['Man Smart (Women are Smarter)']
Z:\Grateful Dead\1989\gd1989-02-05.108689.sbd.walker.scotton.miller.t-flac16\gd1989-02-05d2t01.flac,['Standing on the Moon>']
Z:\Grateful Dead\1989\gd1989-02-05.108689.sbd.walker.scotton.miller.t-flac16\gd1989-02-05d2t02.flac,['Playing in the Band>']
Z:\Grateful Dead\1989\gd1989-02-05.108689.sbd.walker.scotton.miller.t-flac16\gd1989-02-05d2t03.flac,['Drums>']
Z:\Grateful Dead\1989\gd1989-02-05.108689.sbd.walker.scotton.miller.t-flac16\gd1989-02-05d2t04.flac,['Space>']
Z:\Grateful Dead\1989\gd1989-02-05.108689.sbd.walker.scotton.miller.t-flac16\gd1989-02-05d2t05.flac,['I Will Take You Home>']
Z:\Grateful Dead\1989\gd1989-02-05.108689.sbd.walker.scotton.miller.t-flac16\gd1989-02-05d2t06.flac,["He's Gone>"]
Z:\Grateful Dead\1989\gd1989-02-05.108689.sbd.walker.scotton.miller.t-flac16\gd1989-02-05d2t07.flac,['I Need a Miracle>']
Z:\Grateful Dead\1989\gd1989-02-05.108689.sbd.walker.scotton.miller.t-flac16\gd1989-02-05d2t08.flac,['Morning Dew']
Z:\Grateful Dead\1989\gd1989-02-05.108689.sbd.walker.scotton.miller.t-flac16\gd1989-02-05d2t09.flac,['Johnny B. Goode']
Z:\Grateful Dead\1989\gd1989-02-05.116407.aud-ec7.bowen.t.flac16\gd1989-02-05s1t01.flac,['Touch Of Grey >']
Z:\Grateful Dead\1989\gd1989-02-05.116407.aud-ec7.bowen.t.flac16\gd1989-02-05s1t02.flac,['Feel Like A Stranger >']
Z:\Grateful Dead\1989\gd1989-02-05.116407.aud-ec7.bowen.t.flac16\gd1989-02-05s1t03.flac,["Franklin's Tower >"]
Z:\Grateful Dead\1989\gd1989-02-05.116407.aud-ec7.bowen.t.flac16\gd1989-02-05s1t04.flac,['Little Red Rooster']
Z:\Grateful Dead\1989\gd1989-02-05.116407.aud-ec7.bowen.t.flac16\gd1989-02-05s1t05.flac,['Althea']
Z:\Grateful Dead\1989\gd1989-02-05.116407.aud-ec7.bowen.t.flac16\gd1989-02-05s1t06.flac,['We Can Run']
Z:\Grateful Dead\1989\gd1989-02-05.116407.aud-ec7.bowen.t.flac16\gd1989-02-05s1t07.flac,['Desolation Row']
Z:\Grateful Dead\1989\gd1989-02-05.116407.aud-ec7.bowen.t.flac16\gd1989-02-05s1t08.flac,["Don't Ease Me In"]
Z:\Grateful Dead\1989\gd1989-02-05.116407.aud-ec7.bowen.t.flac16\gd1989-02-05s2t01.flac,['Cold Rain & Snow >']
Z:\Grateful Dead\1989\gd1989-02-05.116407.aud-ec7.bowen.t.flac16\gd1989-02-05s2t02.flac,['Man Smart, Woman Smarter']
Z:\Grateful Dead\1989\gd1989-02-05.116407.aud-ec7.bowen.t.flac16\gd1989-02-05s2t03.flac,['Standing On The Moon >']
Z:\Grateful Dead\1989\gd1989-02-05.116407.aud-ec7.bowen.t.flac16\gd1989-02-05s2t04.flac,["Playin' In The Band >"]
Z:\Grateful Dead\1989\gd1989-02-05.116407.aud-ec7.bowen.t.flac16\gd1989-02-05s2t05.flac,['Drums >']
Z:\Grateful Dead\1989\gd1989-02-05.116407.aud-ec7.bowen.t.flac16\gd1989-02-05s2t06.flac,['Space >']
Z:\Grateful Dead\1989\gd1989-02-05.116407.aud-ec7.bowen.t.flac16\gd1989-02-05s2t07.flac,['I Will Take You Home >']
Z:\Grateful Dead\1989\gd1989-02-05.116407.aud-ec7.bowen.t.flac16\gd1989-02-05s2t08.flac,["He's Gone >"]
Z:\Grateful Dead\1989\gd1989-02-05.116407.aud-ec7.bowen.t.flac16\gd1989-02-05s2t09.flac,['I Need A Miracle >']
