Z:\Grateful Dead\1969\gd1969-01-17.89798.sbd.miller.sbeok.t-flac16\gd1969-01-17d1t01.flac,['Trun on Your Lovelight']
Z:\Grateful Dead\1969\gd1969-01-17.89798.sbd.miller.sbeok.t-flac16\gd1969-01-17d1t02.flac,['Dark Star>']
Z:\Grateful Dead\1969\gd1969-01-17.89798.sbd.miller.sbeok.t-flac16\gd1969-01-17d1t03.flac,['Saint Stephen>']
Z:\Grateful Dead\1969\gd1969-01-17.89798.sbd.miller.sbeok.t-flac16\gd1969-01-17d1t04.flac,['The Eleven>']
Z:\Grateful Dead\1969\gd1969-01-17.89798.sbd.miller.sbeok.t-flac16\gd1969-01-17d1t05.flac,["Death Don't Have No Mercy"]
Z:\Grateful Dead\1969\gd1969-01-17.89798.sbd.miller.sbeok.t-flac16\gd1969-01-17d2t01.flac,["That's It for the Other One>"]
Z:\Grateful Dead\1969\gd1969-01-17.89798.sbd.miller.sbeok.t-flac16\gd1969-01-17d2t02.flac,['Csomic Charlie']
Z:\Grateful Dead\1969\gd1969-01-18.33931.tv.ukmutt.sbeok.t-flac16\gd1969-01-18t01.flac,['Hefner interviews Garcia']
Z:\Grateful Dead\1969\gd1969-01-18.33931.tv.ukmutt.sbeok.t-flac16\gd1969-01-18t02.flac,['Mountains of the Moon']
Z:\Grateful Dead\1969\gd1969-01-18.33931.tv.ukmutt.sbeok.t-flac16\gd1969-01-18t03.flac,['Saint Stephen >>>']
Z:\Grateful Dead\1969\gd1969-01-18.33931.tv.ukmutt.sbeok.t-flac16\gd1969-01-18t04.flac,['Closing / Lovelight segment']
Z:\Grateful Dead\1969\gd1969-01-24.07922.sbd.kaplan.sbeok.t-flac16\gd1969-01-24d1t01.flac,['Intro> Crytical Envelopment>']
Z:\Grateful Dead\1969\gd1969-01-24.07922.sbd.kaplan.sbeok.t-flac16\gd1969-01-24d1t02.flac,['Drums> The Other One>']
Z:\Grateful Dead\1969\gd1969-01-24.07922.sbd.kaplan.sbeok.t-flac16\gd1969-01-24d1t03.flac,['Crptical reprise>']
Z:\Grateful Dead\1969\gd1969-01-24.07922.sbd.kaplan.sbeok.t-flac16\gd1969-01-24d1t04.flac,['New Potato Caboose']
Z:\Grateful Dead\1969\gd1969-01-24.07922.sbd.kaplan.sbeok.t-flac16\gd1969-01-24d1t05.flac,["Dupree's Diamond Blues"]
Z:\Grateful Dead\1969\gd1969-01-24.07922.sbd.kaplan.sbeok.t-flac16\gd1969-01-24d1t06.flac,["Doin' That Rag"]
Z:\Grateful Dead\1969\gd1969-01-24.07922.sbd.kaplan.sbeok.t-flac16\gd1969-01-24d2t01.flac,['end of set 1> Sons of Chaplin intro']
Z:\Grateful Dead\1969\gd1969-01-24.07922.sbd.kaplan.sbeok.t-flac16\gd1969-01-24d2t02.flac,['Dark Star']
Z:\Grateful Dead\1969\gd1969-01-24.07922.sbd.kaplan.sbeok.t-flac16\gd1969-01-24d2t03.flac,['/Turn on Your Lovelight>']
Z:\Grateful Dead\1969\gd1969-01-24.07922.sbd.kaplan.sbeok.t-flac16\gd1969-01-24d2t04.flac,['Drums/audience']
Z:\Grateful Dead\1969\gd1969-01-24.110304.sbd.fix.miller.t-flac16\gd1969-01-24d1t01.flac,['tuning']
Z:\Grateful Dead\1969\gd1969-01-24.110304.sbd.fix.miller.t-flac16\gd1969-01-24d1t02.flac,["That's It for the Other One>"]
Z:\Grateful Dead\1969\gd1969-01-24.110304.sbd.fix.miller.t-flac16\gd1969-01-24d1t03.flac,['New Pottato Caboose']
Z:\Grateful Dead\1969\gd1969-01-24.110304.sbd.fix.miller.t-flac16\gd1969-01-24d1t04.flac,["Dupree's Daimond Blues"]
Z:\Grateful Dead\1969\gd1969-01-24.110304.sbd.fix.miller.t-flac16\gd1969-01-24d1t05.flac,["Doin' That Rag"]
Z:\Grateful Dead\1969\gd1969-01-24.110304.sbd.fix.miller.t-flac16\gd1969-01-24d2t01.flac,['Dark Star>']
Z:\Grateful Dead\1969\gd1969-01-24.110304.sbd.fix.miller.t-flac16\gd1969-01-24d2t02.flac,['Turn on Your Lovelight>']
Z:\Grateful Dead\1969\gd1969-01-24.110304.sbd.fix.miller.t-flac16\gd1969-01-24d2t03.flac,['Drums']
Z:\Grateful Dead\1969\gd1969-01-25.07923.sbd.kaplan.sbeok.t-flac\gd1969-01-25d1t01.flac,['//Dark Star>']
Z:\Grateful Dead\1969\gd1969-01-25.07923.sbd.kaplan.sbeok.t-flac\gd1969-01-25d1t02.flac,['Saint Stephen>']
Z:\Grateful Dead\1969\gd1969-01-25.07923.sbd.kaplan.sbeok.t-flac\gd1969-01-25d1t03.flac,['William Tell bridge>']
Z:\Grateful Dead\1969\gd1969-01-25.07923.sbd.kaplan.sbeok.t-flac\gd1969-01-25d1t04.flac,['The Eleven>']
Z:\Grateful Dead\1969\gd1969-01-25.07923.sbd.kaplan.sbeok.t-flac\gd1969-01-25d1t05.flac,['Trun on Your Love//light']
Z:\Grateful Dead\1969\gd1969-01-25.07923.sbd.kaplan.sbeok.t-flac\gd1969-01-25d2t01.flac,["Dupree's Daimond Blues"]
Z:\Grateful Dead\1969\gd1969-01-25.07923.sbd.kaplan.sbeok.t-flac\gd1969-01-25d2t02.flac,["Doin' That Rag>"]
Z:\Grateful Dead\1969\gd1969-01-25.07923.sbd.kaplan.sbeok.t-flac\gd1969-01-25d2t03.flac,['Cosmic  Charlie']
Z:\Grateful Dead\1969\gd1969-01-25.07923.sbd.kaplan.sbeok.t-flac\gd1969-01-25d2t04.flac,['Alligator>']
Z:\Grateful Dead\1969\gd1969-01-25.07923.sbd.kaplan.sbeok.t-flac\gd1969-01-25d2t05.flac,['Drums>']
Z:\Grateful Dead\1969\gd1969-01-25.07923.sbd.kaplan.sbeok.t-flac\gd1969-01-25d2t06.flac,['Alligator>']
Z:\Grateful Dead\1969\gd1969-01-25.07923.sbd.kaplan.sbeok.t-flac\gd1969-01-25d2t07.flac,['Caution (Do Not Stop On Tracks)>']
Z:\Grateful Dead\1969\gd1969-01-25.07923.sbd.kaplan.sbeok.t-flac\gd1969-01-25d2t08.flac,['Feedback>']
Z:\Grateful Dead\1969\gd1969-01-25.07923.sbd.kaplan.sbeok.t-flac\gd1969-01-25d2t09.flac,['And We Bid You Goodnight']
Z:\Grateful Dead\1969\gd1969-01-25.109641.sbd.miller.flac16\gd1969-01-25d1t01.flac,['Dark Star>']
Z:\Grateful Dead\1969\gd1969-01-25.109641.sbd.miller.flac16\gd1969-01-25d1t02.flac,['St. Stephen>']
Z:\Grateful Dead\1969\gd1969-01-25.109641.sbd.miller.flac16\gd1969-01-25d1t03.flac,['Teh Eleven>']
Z:\Grateful Dead\1969\gd1969-01-25.109641.sbd.miller.flac16\gd1969-01-25d1t04.flac,['Turn On Your Lovelight']
Z:\Grateful Dead\1969\gd1969-01-25.109641.sbd.miller.flac16\gd1969-01-25d2t01.flac,["Dupree's Diamond Blues>"]
