Z:\Grateful Dead\1965-1966\gd1965-11-03.09044.sbd.vernon.sbeok.t-flac\gd1965-11-03d1t02.flac,['Mindbender']
Z:\Grateful Dead\1965-1966\gd1965-11-03.09044.sbd.vernon.sbeok.t-flac\gd1965-11-03d1t03.flac,['The Only Time Is Now']
Z:\Grateful Dead\1965-1966\gd1965-11-03.09044.sbd.vernon.sbeok.t-flac\gd1965-11-03d1t04.flac,['Caution//']
Z:\Grateful Dead\1965-1966\gd1965-11-03.09044.sbd.vernon.sbeok.t-flac\gd1965-11-03d1t05.flac,['I Know You Rider']
Z:\Grateful Dead\1965-1966\gd1965-11-03.09044.sbd.vernon.sbeok.t-flac\gd1965-11-03d1t06.flac,['Early Morning Rain']
Z:\Grateful Dead\1965-1966\gd1965-11-03.09044.sbd.vernon.sbeok.t-flac\gd1965-11-03d1t07.flac,['Tastebud']
Z:\Grateful Dead\1965-1966\gd1965-11-03.09044.sbd.vernon.sbeok.t-flac\gd1965-11-03d1t08.flac,["Manson's Children"]
Z:\Grateful Dead\1965-1966\gd1965-11-03.09044.sbd.vernon.sbeok.t-flac\gd1965-11-03d1t09.flac,["Uncle John's Band"]
Z:\Grateful Dead\1965-1966\gd1965-11-03.09044.sbd.vernon.sbeok.t-flac\gd1965-11-03d1t10.flac,['Ripple']
Z:\Grateful Dead\1965-1966\gd1965-11-03.09044.sbd.vernon.sbeok.t-flac\gd1965-11-03d1t11.flac,['Cold Rain & Snow']
Z:\Grateful Dead\1965-1966\gd1965-11-03.09044.sbd.vernon.sbeok.t-flac\gd1965-11-03d1t12.flac,["You Don't Have to Ask"]
Z:\Grateful Dead\1965-1966\gd1965-11-03.09044.sbd.vernon.sbeok.t-flac\gd1965-11-03d1t13.flac,["Stealiin'"]
Z:\Grateful Dead\1965-1966\gd1965-11-03.09044.sbd.vernon.sbeok.t-flac\gd1965-11-03d1t14.flac,['I Know You Rider']
Z:\Grateful Dead\1965-1966\gd1965-11-03.09044.sbd.vernon.sbeok.t-flac\gd1965-11-03d1t15.flac,["Don't Ease Me In"]
Z:\Grateful Dead\1965-1966\gd1965-11-03.09044.sbd.vernon.sbeok.t-flac\gd1965-11-03d1t16.flac,['Cardboard Cowboy']
Z:\Grateful Dead\1965-1966\gd1965-11-03.09044.sbd.vernon.sbeok.t-flac\gd1965-11-03d1t17.flac,["Mason's Children"]
Z:\Grateful Dead\1965-1966\gd1965-11-03.09044.sbd.vernon.sbeok.t-flac\gd1965-11-03d1t18.flac,['Turn on Your Lovelight']
Z:\Grateful Dead\1965-1966\gd1965.005406-acid-tests.sbd.bershaw.t-flac16\Acid1_01.flac,['Stage Chaos/More Power Rap']
Z:\Grateful Dead\1965-1966\gd1965.005406-acid-tests.sbd.bershaw.t-flac16\Acid1_02.flac,['King Bee']
Z:\Grateful Dead\1965-1966\gd1965.005406-acid-tests.sbd.bershaw.t-flac16\Acid1_03.flac,["I'm A Hog For You Baby"]
Z:\Grateful Dead\1965-1966\gd1965.005406-acid-tests.sbd.bershaw.t-flac16\Acid1_04.flac,['Caution: Do Not Step On Tracks >']
Z:\Grateful Dead\1965-1966\gd1965.005406-acid-tests.sbd.bershaw.t-flac16\Acid1_05.flac,["Death Don't Have No Mercy"]
Z:\Grateful Dead\1965-1966\gd1965.005406-acid-tests.sbd.bershaw.t-flac16\Acid1_06.flac,['Star Spangled Banner / closing remarks']
Z:\Grateful Dead\1965-1966\gd1965.005406-acid-tests.sbd.bershaw.t-flac16\Acid1_07.flac,['Ken Kesey interviewed by Frank Fey']
Z:\Grateful Dead\1965-1966\gd1965.005406-acid-tests.sbd.bershaw.t-flac16\Acid1_08.flac,['Ken Babbs and harmonica']
Z:\Grateful Dead\1965-1966\gd1965.005406-acid-tests.sbd.bershaw.t-flac16\Acid1_09.flac,['Take Two: Ken Kesey']
Z:\Grateful Dead\1965-1966\gd1965.005406-acid-tests.sbd.bershaw.t-flac16\Acid1_10.flac,['Bull']
Z:\Grateful Dead\1965-1966\gd1965.005406-acid-tests.sbd.bershaw.t-flac16\Acid1_11.flac,['Peggy The Pistol']
Z:\Grateful Dead\1965-1966\gd1965.005406-acid-tests.sbd.bershaw.t-flac16\Acid1_12.flac,['One-way Ticket']
Z:\Grateful Dead\1965-1966\gd1965.005406-acid-tests.sbd.bershaw.t-flac16\Acid1_13.flac,['Bells And Fairies']
Z:\Grateful Dead\1965-1966\gd1965.005406-acid-tests.sbd.bershaw.t-flac16\Acid1_14.flac,['Levitation']
Z:\Grateful Dead\1965-1966\gd1965.005406-acid-tests.sbd.bershaw.t-flac16\Acid1_15.flac,['Trip X']
Z:\Grateful Dead\1965-1966\gd1965.005406-acid-tests.sbd.bershaw.t-flac16\Acid1_16.flac,['The End']
Z:\Grateful Dead\1965-1966\gd1965.005406-acid-tests.sbd.bershaw.t-flac16\Acid2_01.flac,['Viola Lee Blues']
Z:\Grateful Dead\1965-1966\gd1965.005406-acid-tests.sbd.bershaw.t-flac16\Acid2_02.flac,['You See A Broken Heart']
Z:\Grateful Dead\1965-1966\gd1965.005406-acid-tests.sbd.bershaw.t-flac16\Acid2_03.flac,['In The Midnight Hour']
Z:\Grateful Dead\1965-1966\gd1965.005406-acid-tests.sbd.bershaw.t-flac16\Acid2_04.flac,['The Head Has Become Fat Rap']
Z:\Grateful Dead\1965-1966\gd1965.005406-acid-tests.sbd.bershaw.t-flac16\Acid2_05.flac,['A Mexican Story: 25 Bennies']
Z:\Grateful Dead\1965-1966\gd1965.005406-acid-tests.sbd.bershaw.t-flac16\Acid2_06.flac,['A Tarnished Galahad']
