Z:\Grateful Dead\1984\gd1984-03-28.109259.fob-beyer-senn.daweez.D5scott.t-flac16\d1t01.flac,['Iko Iko']
Z:\Grateful Dead\1984\gd1984-03-28.109259.fob-beyer-senn.daweez.D5scott.t-flac16\d1t02.flac,['CC Rider']
Z:\Grateful Dead\1984\gd1984-03-28.109259.fob-beyer-senn.daweez.D5scott.t-flac16\d1t03.flac,['Loser']
Z:\Grateful Dead\1984\gd1984-03-28.109259.fob-beyer-senn.daweez.D5scott.t-flac16\d1t04.flac,['El Paso']
Z:\Grateful Dead\1984\gd1984-03-28.109259.fob-beyer-senn.daweez.D5scott.t-flac16\d1t05.flac,['West L.A. Fadeaway']
Z:\Grateful Dead\1984\gd1984-03-28.109259.fob-beyer-senn.daweez.D5scott.t-flac16\d1t06.flac,['Beat It on Down the Line']
Z:\Grateful Dead\1984\gd1984-03-28.109259.fob-beyer-senn.daweez.D5scott.t-flac16\d1t07.flac,['Candyman']
Z:\Grateful Dead\1984\gd1984-03-28.109259.fob-beyer-senn.daweez.D5scott.t-flac16\d1t08.flac,['Let it Grow']
Z:\Grateful Dead\1984\gd1984-03-28.109259.fob-beyer-senn.daweez.D5scott.t-flac16\d2t01.flac,["Oh Babe, It ain't No Lie"]
Z:\Grateful Dead\1984\gd1984-03-28.109259.fob-beyer-senn.daweez.D5scott.t-flac16\d2t02.flac,['Hell in aBbucket']
Z:\Grateful Dead\1984\gd1984-03-28.109259.fob-beyer-senn.daweez.D5scott.t-flac16\d2t03.flac,['China Cat Sunflower>']
Z:\Grateful Dead\1984\gd1984-03-28.109259.fob-beyer-senn.daweez.D5scott.t-flac16\d2t04.flac,['I Know You Rider>']
Z:\Grateful Dead\1984\gd1984-03-28.109259.fob-beyer-senn.daweez.D5scott.t-flac16\d2t05.flac,['Playing in the Band>']
Z:\Grateful Dead\1984\gd1984-03-28.109259.fob-beyer-senn.daweez.D5scott.t-flac16\d2t06.flac,["I Don't Need Love>"]
Z:\Grateful Dead\1984\gd1984-03-28.109259.fob-beyer-senn.daweez.D5scott.t-flac16\d2t07.flac,['Drums>']
Z:\Grateful Dead\1984\gd1984-03-28.109259.fob-beyer-senn.daweez.D5scott.t-flac16\d3t01.flac,['Space>']
Z:\Grateful Dead\1984\gd1984-03-28.109259.fob-beyer-senn.daweez.D5scott.t-flac16\d3t02.flac,['The Wheel>']
Z:\Grateful Dead\1984\gd1984-03-28.109259.fob-beyer-senn.daweez.D5scott.t-flac16\d3t03.flac,["Truckin'>"]
Z:\Grateful Dead\1984\gd1984-03-28.109259.fob-beyer-senn.daweez.D5scott.t-flac16\d3t04.flac,['Spoonful>']
Z:\Grateful Dead\1984\gd1984-03-28.109259.fob-beyer-senn.daweez.D5scott.t-flac16\d3t05.flac,['Around & Around>']
Z:\Grateful Dead\1984\gd1984-03-28.109259.fob-beyer-senn.daweez.D5scott.t-flac16\d3t06.flac,['Johnny B. Goode']
