Z:\Grateful Dead\1985\gd1985-02-18.112038.beyer-senn.daweez.d5scott.t-flac16\d1t01.flac,['Iko Iko']
Z:\Grateful Dead\1985\gd1985-02-18.112038.beyer-senn.daweez.d5scott.t-flac16\d1t02.flac,['CC Rider']
Z:\Grateful Dead\1985\gd1985-02-18.112038.beyer-senn.daweez.d5scott.t-flac16\d1t03.flac,['Dire Wolf']
Z:\Grateful Dead\1985\gd1985-02-18.112038.beyer-senn.daweez.d5scott.t-flac16\d1t04.flac,['Cassidy']
Z:\Grateful Dead\1985\gd1985-02-18.112038.beyer-senn.daweez.d5scott.t-flac16\d1t05.flac,['Ramble on Rose']
Z:\Grateful Dead\1985\gd1985-02-18.112038.beyer-senn.daweez.d5scott.t-flac16\d1t06.flac,['Me & My Uncle>']
Z:\Grateful Dead\1985\gd1985-02-18.112038.beyer-senn.daweez.d5scott.t-flac16\d1t07.flac,['Mexicali Blues']
Z:\Grateful Dead\1985\gd1985-02-18.112038.beyer-senn.daweez.d5scott.t-flac16\d1t08.flac,['China Cat Sunflower>']
Z:\Grateful Dead\1985\gd1985-02-18.112038.beyer-senn.daweez.d5scott.t-flac16\d1t09.flac,['/I Know You Rider']
Z:\Grateful Dead\1985\gd1985-02-18.112038.beyer-senn.daweez.d5scott.t-flac16\d2t01.flac,['Samson & Delilah']
Z:\Grateful Dead\1985\gd1985-02-18.112038.beyer-senn.daweez.d5scott.t-flac16\d2t02.flac,["He's Gone>"]
Z:\Grateful Dead\1985\gd1985-02-18.112038.beyer-senn.daweez.d5scott.t-flac16\d2t03.flac,['Spoonful>']
Z:\Grateful Dead\1985\gd1985-02-18.112038.beyer-senn.daweez.d5scott.t-flac16\d2t04.flac,['Eyes of the World>']
Z:\Grateful Dead\1985\gd1985-02-18.112038.beyer-senn.daweez.d5scott.t-flac16\d2t05.flac,['Going Down the Road Feeling Bad>']
Z:\Grateful Dead\1985\gd1985-02-18.112038.beyer-senn.daweez.d5scott.t-flac16\d2t06.flac,['Drums>']
Z:\Grateful Dead\1985\gd1985-02-18.112038.beyer-senn.daweez.d5scott.t-flac16\d3t01.flac,['Space>']
Z:\Grateful Dead\1985\gd1985-02-18.112038.beyer-senn.daweez.d5scott.t-flac16\d3t02.flac,['China Doll>']
Z:\Grateful Dead\1985\gd1985-02-18.112038.beyer-senn.daweez.d5scott.t-flac16\d3t03.flac,['Baby What Do You Want Me To Do>']
Z:\Grateful Dead\1985\gd1985-02-18.112038.beyer-senn.daweez.d5scott.t-flac16\d3t04.flac,['Sugar Magnolia']
Z:\Grateful Dead\1985\gd1985-02-18.112038.beyer-senn.daweez.d5scott.t-flac16\d3t05.flac,['Keep Your Day Job']
Z:\Grateful Dead\1985\gd1985-02-19.009879.sbd.barbella.sbeok.t-flac16\gd1985-02-19d1t01.flac,['Jack Sraw']
Z:\Grateful Dead\1985\gd1985-02-19.009879.sbd.barbella.sbeok.t-flac16\gd1985-02-19d1t02.flac,["Dupree's Diamond Blues"]
Z:\Grateful Dead\1985\gd1985-02-19.009879.sbd.barbella.sbeok.t-flac16\gd1985-02-19d1t03.flac,['New Minglewood Blues']
Z:\Grateful Dead\1985\gd1985-02-19.009879.sbd.barbella.sbeok.t-flac16\gd1985-02-19d1t04.flac,['Brown Eyed Women']
Z:\Grateful Dead\1985\gd1985-02-19.009879.sbd.barbella.sbeok.t-flac16\gd1985-02-19d1t05.flac,['My Brother Esau']
Z:\Grateful Dead\1985\gd1985-02-19.009879.sbd.barbella.sbeok.t-flac16\gd1985-02-19d1t06.flac,['Bird Song']
Z:\Grateful Dead\1985\gd1985-02-19.009879.sbd.barbella.sbeok.t-flac16\gd1985-02-19d1t07.flac,['Hell in a Bucket>']
Z:\Grateful Dead\1985\gd1985-02-19.009879.sbd.barbella.sbeok.t-flac16\gd1985-02-19d1t08.flac,['Might as Well']
Z:\Grateful Dead\1985\gd1985-02-19.009879.sbd.barbella.sbeok.t-flac16\gd1985-02-19d2t01.flac,["Truckin'>"]
Z:\Grateful Dead\1985\gd1985-02-19.009879.sbd.barbella.sbeok.t-flac16\gd1985-02-19d2t02.flac,['Terrapin Station>']
Z:\Grateful Dead\1985\gd1985-02-19.009879.sbd.barbella.sbeok.t-flac16\gd1985-02-19d2t03.flac,['Man Smart (Women Are Smarter)>']
Z:\Grateful Dead\1985\gd1985-02-19.009879.sbd.barbella.sbeok.t-flac16\gd1985-02-19d2t04.flac,['Iko Iko>']
Z:\Grateful Dead\1985\gd1985-02-19.009879.sbd.barbella.sbeok.t-flac16\gd1985-02-19d2t05.flac,['Man Smart (Women Are Smarter)>']
Z:\Grateful Dead\1985\gd1985-02-19.009879.sbd.barbella.sbeok.t-flac16\gd1985-02-19d2t06.flac,['Drums>']
Z:\Grateful Dead\1985\gd1985-02-19.009879.sbd.barbella.sbeok.t-flac16\gd1985-02-19d2t07.flac,['Space>']
Z:\Grateful Dead\1985\gd1985-02-19.009879.sbd.barbella.sbeok.t-flac16\gd1985-02-19d2t08.flac,['Throwing Stones>']
Z:\Grateful Dead\1985\gd1985-02-19.009879.sbd.barbella.sbeok.t-flac16\gd1985-02-19d2t09.flac,['Touch of Grey']
Z:\Grateful Dead\1985\gd1985-02-19.009879.sbd.barbella.sbeok.t-flac16\gd1985-02-19d2t10.flac,['Johnny B. Goode']
Z:\Grateful Dead\1985\gd1985-02-19.082946.fob-senn421.mccue.sbeok.t-flac16\gd1985-02-19-mccue-d1t01.flac,['tuning']
Z:\Grateful Dead\1985\gd1985-02-19.082946.fob-senn421.mccue.sbeok.t-flac16\gd1985-02-19-mccue-d1t02.flac,['Jack Straw']
Z:\Grateful Dead\1985\gd1985-02-19.082946.fob-senn421.mccue.sbeok.t-flac16\gd1985-02-19-mccue-d1t03.flac,["Dupree's Daimond Blues"]
Z:\Grateful Dead\1985\gd1985-02-19.082946.fob-senn421.mccue.sbeok.t-flac16\gd1985-02-19-mccue-d1t04.flac,['New Minglewood Blues']
Z:\Grateful Dead\1985\gd1985-02-19.082946.fob-senn421.mccue.sbeok.t-flac16\gd1985-02-19-mccue-d1t05.flac,['Brown Eyed Women']
Z:\Grateful Dead\1985\gd1985-02-19.082946.fob-senn421.mccue.sbeok.t-flac16\gd1985-02-19-mccue-d1t06.flac,['My Brother Esau']
Z:\Grateful Dead\1985\gd1985-02-19.082946.fob-senn421.mccue.sbeok.t-flac16\gd1985-02-19-mccue-d1t07.flac,['Bird Song']
Z:\Grateful Dead\1985\gd1985-02-19.082946.fob-senn421.mccue.sbeok.t-flac16\gd1985-02-19-mccue-d1t08.flac,['crowd']
