D:\Jerry Garcia\1994\jg1994-01-12.30691.jgdg.aud.jupille.loy.sbeok.flac16\jg+dg1994-01-12(too)d2t11.flac|Ripple
D:\Jerry Garcia\1994\jg1994-01-13.030962.daud.unknown.minches-jupille-loy.sbeok.flac16\jg+dg1994-01-13(too)d1t01.flac|Shady Grove
D:\Jerry Garcia\1994\jg1994-01-13.030962.daud.unknown.minches-jupille-loy.sbeok.flac16\jg+dg1994-01-13(too)d1t02.flac|Long Black Veil
D:\Jerry Garcia\1994\jg1994-01-13.030962.daud.unknown.minches-jupille-loy.sbeok.flac16\jg+dg1994-01-13(too)d1t03.flac|Rosalie McFall
D:\Jerry Garcia\1994\jg1994-01-13.030962.daud.unknown.minches-jupille-loy.sbeok.flac16\jg+dg1994-01-13(too)d1t04.flac|Dawg's Waltz
D:\Jerry Garcia\1994\jg1994-01-13.030962.daud.unknown.minches-jupille-loy.sbeok.flac16\jg+dg1994-01-13(too)d1t05.flac|Freight Train
D:\Jerry Garcia\1994\jg1994-01-13.030962.daud.unknown.minches-jupille-loy.sbeok.flac16\jg+dg1994-01-13(too)d1t06.flac|Hot Corn, Cold Corn
D:\Jerry Garcia\1994\jg1994-01-13.030962.daud.unknown.minches-jupille-loy.sbeok.flac16\jg+dg1994-01-13(too)d1t07.flac|Red Rockin' Chair Blues
D:\Jerry Garcia\1994\jg1994-01-13.030962.daud.unknown.minches-jupille-loy.sbeok.flac16\jg+dg1994-01-13(too)d1t08.flac|Grateful Dawg
D:\Jerry Garcia\1994\jg1994-01-13.030962.daud.unknown.minches-jupille-loy.sbeok.flac16\jg+dg1994-01-13(too)d2t01.flac|Troubled In Mind
D:\Jerry Garcia\1994\jg1994-01-13.030962.daud.unknown.minches-jupille-loy.sbeok.flac16\jg+dg1994-01-13(too)d2t02.flac|Ballad Of Casey Jones
D:\Jerry Garcia\1994\jg1994-01-13.030962.daud.unknown.minches-jupille-loy.sbeok.flac16\jg+dg1994-01-13(too)d2t03.flac|There Ain't No Bugs On Me
D:\Jerry Garcia\1994\jg1994-01-13.030962.daud.unknown.minches-jupille-loy.sbeok.flac16\jg+dg1994-01-13(too)d2t04.flac|Band Introductions
D:\Jerry Garcia\1994\jg1994-01-13.030962.daud.unknown.minches-jupille-loy.sbeok.flac16\jg+dg1994-01-13(too)d2t05.flac|So What?
D:\Jerry Garcia\1994\jg1994-01-13.030962.daud.unknown.minches-jupille-loy.sbeok.flac16\jg+dg1994-01-13(too)d2t06.flac|Old Rockin' Chair
D:\Jerry Garcia\1994\jg1994-01-13.030962.daud.unknown.minches-jupille-loy.sbeok.flac16\jg+dg1994-01-13(too)d2t07.flac|tuning
D:\Jerry Garcia\1994\jg1994-01-13.030962.daud.unknown.minches-jupille-loy.sbeok.flac16\jg+dg1994-01-13(too)d2t08.flac|Stealin'
D:\Jerry Garcia\1994\jg1994-01-13.030962.daud.unknown.minches-jupille-loy.sbeok.flac16\jg+dg1994-01-13(too)d2t09.flac|Poison Glass Of Wine
D:\Jerry Garcia\1994\jg1994-01-13.030962.daud.unknown.minches-jupille-loy.sbeok.flac16\jg+dg1994-01-13(too)d2t10.flac|Drink Up And Go Home
D:\Jerry Garcia\1994\jg1994-01-13.030962.daud.unknown.minches-jupille-loy.sbeok.flac16\jg+dg1994-01-13(too)d2t11.flac|Arabia
D:\Jerry Garcia\1994\jg1994-01-13.032833.jgdg.neumannKM54.evans.braveman.t-flac1648\jgdg1994-01-13.48khz.d1t01.flac|Shady Grove
D:\Jerry Garcia\1994\jg1994-01-13.032833.jgdg.neumannKM54.evans.braveman.t-flac1648\jgdg1994-01-13.48khz.d1t02.flac|Long Black Veil
D:\Jerry Garcia\1994\jg1994-01-13.032833.jgdg.neumannKM54.evans.braveman.t-flac1648\jgdg1994-01-13.48khz.d1t03.flac|Rosalie McFall
D:\Jerry Garcia\1994\jg1994-01-13.032833.jgdg.neumannKM54.evans.braveman.t-flac1648\jgdg1994-01-13.48khz.d1t04.flac|Dawg's Waltz
D:\Jerry Garcia\1994\jg1994-01-13.032833.jgdg.neumannKM54.evans.braveman.t-flac1648\jgdg1994-01-13.48khz.d1t05.flac|Freight Train
D:\Jerry Garcia\1994\jg1994-01-13.032833.jgdg.neumannKM54.evans.braveman.t-flac1648\jgdg1994-01-13.48khz.d1t06.flac|Hot Corn, Cold Corn
D:\Jerry Garcia\1994\jg1994-01-13.032833.jgdg.neumannKM54.evans.braveman.t-flac1648\jgdg1994-01-13.48khz.d1t07.flac|Red Rocking Chair
D:\Jerry Garcia\1994\jg1994-01-13.032833.jgdg.neumannKM54.evans.braveman.t-flac1648\jgdg1994-01-13.48khz.d1t08.flac|Grateful Dawg
D:\Jerry Garcia\1994\jg1994-01-13.032833.jgdg.neumannKM54.evans.braveman.t-flac1648\jgdg1994-01-13.48khz.d1t09.flac|I'm Troubled
D:\Jerry Garcia\1994\jg1994-01-13.032833.jgdg.neumannKM54.evans.braveman.t-flac1648\jgdg1994-01-13.48khz.d1t10.flac|The Ballad of Casey Jones
D:\Jerry Garcia\1994\jg1994-01-13.032833.jgdg.neumannKM54.evans.braveman.t-flac1648\jgdg1994-01-13.48khz.d1t11.flac|There Ain't No Bugs on Me
D:\Jerry Garcia\1994\jg1994-01-13.032833.jgdg.neumannKM54.evans.braveman.t-flac1648\jgdg1994-01-13.48khz.d1t12.flac|band introductions
D:\Jerry Garcia\1994\jg1994-01-13.032833.jgdg.neumannKM54.evans.braveman.t-flac1648\jgdg1994-01-13.48khz.d1t13.flac|So What
