D:\Jerry Garcia\1985\jg1985-05-23.137966.jgjk.late.aud.unknown.andrewf.flac16\jgjk1985-05-23s2t02.flac|Dire Wolf
D:\Jerry Garcia\1985\jg1985-05-23.137966.jgjk.late.aud.unknown.andrewf.flac16\jgjk1985-05-23s2t03.flac|She Belongs to Me
D:\Jerry Garcia\1985\jg1985-05-23.137966.jgjk.late.aud.unknown.andrewf.flac16\jgjk1985-05-23s2t04.flac|Goodnight Irene
D:\Jerry Garcia\1985\jg1985-05-23.137966.jgjk.late.aud.unknown.andrewf.flac16\jgjk1985-05-23s2t05.flac|Ripple
D:\Jerry Garcia\1985\jg1985-05-31.032007.jgjk.early.sony939.pinedo.mandel.sbeok.t-flac16\JGB 1985-05-31d1t01.flac|Run for the Roses
D:\Jerry Garcia\1985\jg1985-05-31.032007.jgjk.early.sony939.pinedo.mandel.sbeok.t-flac16\JGB 1985-05-31d1t02.flac|I've Been All Around This World
D:\Jerry Garcia\1985\jg1985-05-31.032007.jgjk.early.sony939.pinedo.mandel.sbeok.t-flac16\JGB 1985-05-31d1t03.flac|Friend of the Devil
D:\Jerry Garcia\1985\jg1985-05-31.032007.jgjk.early.sony939.pinedo.mandel.sbeok.t-flac16\JGB 1985-05-31d1t04.flac|Deep Elem Blues
D:\Jerry Garcia\1985\jg1985-05-31.032007.jgjk.early.sony939.pinedo.mandel.sbeok.t-flac16\JGB 1985-05-31d1t05.flac|Simple Twist of Fate
D:\Jerry Garcia\1985\jg1985-05-31.032007.jgjk.early.sony939.pinedo.mandel.sbeok.t-flac16\JGB 1985-05-31d1t06.flac|Ripple
D:\Jerry Garcia\1985\jg1985-05-31.032007.jgjk.early.sony939.pinedo.mandel.sbeok.t-flac16\JGB 1985-05-31d1t07.flac|Jack-A-Roe
D:\Jerry Garcia\1985\jg1985-05-31.032007.jgjk.early.sony939.pinedo.mandel.sbeok.t-flac16\JGB 1985-05-31d1t08.flac|Oh Babe It Ain't No Lie
D:\Jerry Garcia\1985\jg1985-05-31.032007.jgjk.early.sony939.pinedo.mandel.sbeok.t-flac16\JGB 1985-05-31d1t09.flac|When I Paint My Masterpiece
D:\Jerry Garcia\1985\jg1985-06-01.020921.jgb.nak700.corley.ladner.sbeok.t-flac16\jgb85-06-01d1t01.flac|Cats Under the Stars
D:\Jerry Garcia\1985\jg1985-06-01.020921.jgb.nak700.corley.ladner.sbeok.t-flac16\jgb85-06-01d1t02.flac|Knockin' On Heaven's Door
D:\Jerry Garcia\1985\jg1985-06-01.020921.jgb.nak700.corley.ladner.sbeok.t-flac16\jgb85-06-01d1t03.flac|Tore Up over You
D:\Jerry Garcia\1985\jg1985-06-01.020921.jgb.nak700.corley.ladner.sbeok.t-flac16\jgb85-06-01d1t04.flac|Run for the Roses
D:\Jerry Garcia\1985\jg1985-06-01.020921.jgb.nak700.corley.ladner.sbeok.t-flac16\jgb85-06-01d1t05.flac|Deal
D:\Jerry Garcia\1985\jg1985-06-01.020921.jgb.nak700.corley.ladner.sbeok.t-flac16\jgb85-06-01d2t01.flac|Mission in the Rain
D:\Jerry Garcia\1985\jg1985-06-01.020921.jgb.nak700.corley.ladner.sbeok.t-flac16\jgb85-06-01d2t02.flac|Love in the Afternoon
D:\Jerry Garcia\1985\jg1985-06-01.020921.jgb.nak700.corley.ladner.sbeok.t-flac16\jgb85-06-01d2t03.flac|Gomorrah
D:\Jerry Garcia\1985\jg1985-06-01.020921.jgb.nak700.corley.ladner.sbeok.t-flac16\jgb85-06-01d2t04.flac|Reuben and Cherise
D:\Jerry Garcia\1985\jg1985-06-01.020921.jgb.nak700.corley.ladner.sbeok.t-flac16\jgb85-06-01d2t05.flac|Tangled Up in Blue
D:\Jerry Garcia\1985\jg1985-06-03.020920.jgb.nak700.corley.ladner.t-flac16 (first set 85-08-05, second set 85-06-03)\jgb85-06-03d1t01.flac|How Sweet It Is
D:\Jerry Garcia\1985\jg1985-06-03.020920.jgb.nak700.corley.ladner.t-flac16 (first set 85-08-05, second set 85-06-03)\jgb85-06-03d1t02.flac|They Love Each Other
D:\Jerry Garcia\1985\jg1985-06-03.020920.jgb.nak700.corley.ladner.t-flac16 (first set 85-08-05, second set 85-06-03)\jgb85-06-03d1t03.flac|Knockin' On Heaven's Door
D:\Jerry Garcia\1985\jg1985-06-03.020920.jgb.nak700.corley.ladner.t-flac16 (first set 85-08-05, second set 85-06-03)\jgb85-06-03d1t04.flac|Run for the Roses
D:\Jerry Garcia\1985\jg1985-06-03.020920.jgb.nak700.corley.ladner.t-flac16 (first set 85-08-05, second set 85-06-03)\jgb85-06-03d1t05.flac|Tangled Up in Blue
D:\Jerry Garcia\1985\jg1985-06-03.020920.jgb.nak700.corley.ladner.t-flac16 (first set 85-08-05, second set 85-06-03)\jgb85-06-03d2t01.flac|I'll Take a Melody
D:\Jerry Garcia\1985\jg1985-06-03.020920.jgb.nak700.corley.ladner.t-flac16 (first set 85-08-05, second set 85-06-03)\jgb85-06-03d2t02.flac|Simple Twist of Fate
D:\Jerry Garcia\1985\jg1985-06-03.020920.jgb.nak700.corley.ladner.t-flac16 (first set 85-08-05, second set 85-06-03)\jgb85-06-03d2t03.flac|Midnight Moonlight
D:\Jerry Garcia\1985\jg1985-06-03.020920.jgb.nak700.corley.ladner.t-flac16 (first set 85-08-05, second set 85-06-03)\jg1985-06-03.092786.jgb.pzm.russjcan.sbeok.t-flac16\jgb1985.06.03.d1t01.flac|How Sweet It Is
D:\Jerry Garcia\1985\jg1985-06-03.020920.jgb.nak700.corley.ladner.t-flac16 (first set 85-08-05, second set 85-06-03)\jg1985-06-03.092786.jgb.pzm.russjcan.sbeok.t-flac16\jgb1985.06.03.d1t02.flac|They Love Each Other
D:\Jerry Garcia\1985\jg1985-06-03.020920.jgb.nak700.corley.ladner.t-flac16 (first set 85-08-05, second set 85-06-03)\jg1985-06-03.092786.jgb.pzm.russjcan.sbeok.t-flac16\jgb1985.06.03.d1t03.flac|When I Paint My Masterpiece
D:\Jerry Garcia\1985\jg1985-06-03.020920.jgb.nak700.corley.ladner.t-flac16 (first set 85-08-05, second set 85-06-03)\jg1985-06-03.092786.jgb.pzm.russjcan.sbeok.t-flac16\jgb1985.06.03.d1t04.flac|Mississippi Moon
