D:\Jerry Garcia\1974\jg1974-01-17.076471.jgms.sonyecm250.falanga.tobin.sbeok.t-flac16\jgms740117d1t01.flac|Someday Baby
D:\Jerry Garcia\1974\jg1974-01-17.076471.jgms.sonyecm250.falanga.tobin.sbeok.t-flac16\jgms740117d1t02.flac|La-La
D:\Jerry Garcia\1974\jg1974-01-17.076471.jgms.sonyecm250.falanga.tobin.sbeok.t-flac16\jgms740117d1t03.flac|I Second That Emotion
D:\Jerry Garcia\1974\jg1974-01-17.076471.jgms.sonyecm250.falanga.tobin.sbeok.t-flac16\jgms740117d1t04.flac|My Funny Valentine
D:\Jerry Garcia\1974\jg1974-01-17.076471.jgms.sonyecm250.falanga.tobin.sbeok.t-flac16\jgms740117d2t01.flac|That's All Right
D:\Jerry Garcia\1974\jg1974-01-17.076471.jgms.sonyecm250.falanga.tobin.sbeok.t-flac16\jgms740117d2t02.flac|Finders Keepers
D:\Jerry Garcia\1974\jg1974-01-17.076471.jgms.sonyecm250.falanga.tobin.sbeok.t-flac16\jgms740117d2t03.flac|Think
D:\Jerry Garcia\1974\jg1974-01-17.076471.jgms.sonyecm250.falanga.tobin.sbeok.t-flac16\jgms740117d2t04.flac|Are You Lonely for Me, Baby?
D:\Jerry Garcia\1974\jg1974-01-17.076471.jgms.sonyecm250.falanga.tobin.sbeok.t-flac16\jgms740117d2t05.flac|The Harder They Come
D:\Jerry Garcia\1974\jg1974-01-17.076474.jgms.sbd.tobin.sbeok.t-flac16\jgms740117d1t01.flac|Someday Baby
D:\Jerry Garcia\1974\jg1974-01-17.076474.jgms.sbd.tobin.sbeok.t-flac16\jgms740117d1t02.flac|La-La
D:\Jerry Garcia\1974\jg1974-01-17.076474.jgms.sbd.tobin.sbeok.t-flac16\jgms740117d1t03.flac|I Second That Emotion
D:\Jerry Garcia\1974\jg1974-01-17.076474.jgms.sbd.tobin.sbeok.t-flac16\jgms740117d1t04.flac|My Funny Valentine
D:\Jerry Garcia\1974\jg1974-01-17.076474.jgms.sbd.tobin.sbeok.t-flac16\jgms740117d2t01.flac|That's All Right
D:\Jerry Garcia\1974\jg1974-01-17.076474.jgms.sbd.tobin.sbeok.t-flac16\jgms740117d2t02.flac|Finders Keepers
D:\Jerry Garcia\1974\jg1974-01-17.076474.jgms.sbd.tobin.sbeok.t-flac16\jgms740117d2t03.flac|Think
D:\Jerry Garcia\1974\jg1974-01-17.076474.jgms.sbd.tobin.sbeok.t-flac16\jgms740117d2t04.flac|Are You Lonely for Me?
D:\Jerry Garcia\1974\jg1974-01-17.076474.jgms.sbd.tobin.sbeok.t-flac16\jgms740117d2t05.flac|The Harder They Come
D:\Jerry Garcia\1974\jg1974-01-17.090365.jgms..mtx.tobin.t-flac16\jg1974-01-17d1t01.flac|Someday Baby
D:\Jerry Garcia\1974\jg1974-01-17.090365.jgms..mtx.tobin.t-flac16\jg1974-01-17d1t02.flac|La-La
D:\Jerry Garcia\1974\jg1974-01-17.090365.jgms..mtx.tobin.t-flac16\jg1974-01-17d1t03.flac|I Second That Emotion
D:\Jerry Garcia\1974\jg1974-01-17.090365.jgms..mtx.tobin.t-flac16\jg1974-01-17d1t04.flac|My Funny Valentine
D:\Jerry Garcia\1974\jg1974-01-17.090365.jgms..mtx.tobin.t-flac16\jg1974-01-17d2t01.flac|That's All Right
