D:\Jerry Garcia\1984\jg1984-01-08.136978.jgb.aud.unknown.flac16\jgb1984-01-08s1t01.flac|How Sweet It Is
D:\Jerry Garcia\1984\jg1984-01-08.136978.jgb.aud.unknown.flac16\jgb1984-01-08s1t02.flac|I'll Take a Melody
D:\Jerry Garcia\1984\jg1984-01-08.136978.jgb.aud.unknown.flac16\jgb1984-01-08s1t03.flac|Someday Baby
D:\Jerry Garcia\1984\jg1984-01-08.136978.jgb.aud.unknown.flac16\jgb1984-01-08s1t04.flac|Love in the Afternoon
D:\Jerry Garcia\1984\jg1984-01-08.136978.jgb.aud.unknown.flac16\jgb1984-01-08s1t05.flac|Run for the Roses
D:\Jerry Garcia\1984\jg1984-01-08.136978.jgb.aud.unknown.flac16\jgb1984-01-08s1t06.flac|Rhapsody in Red
D:\Jerry Garcia\1984\jg1984-01-08.136978.jgb.aud.unknown.flac16\jgb1984-01-08s2t01.flac|Cats Under the Stars
D:\Jerry Garcia\1984\jg1984-01-08.136978.jgb.aud.unknown.flac16\jgb1984-01-08s2t02.flac|Mission in the Rain
D:\Jerry Garcia\1984\jg1984-01-08.136978.jgb.aud.unknown.flac16\jgb1984-01-08s2t03.flac|Gomorrah
D:\Jerry Garcia\1984\jg1984-01-08.136978.jgb.aud.unknown.flac16\jgb1984-01-08s2t04.flac|Tore Up Over You
D:\Jerry Garcia\1984\jg1984-01-08.136978.jgb.aud.unknown.flac16\jgb1984-01-08s2t05.flac|Midnight Moonlight
D:\Jerry Garcia\1984\jg1984-01-13.032037.jgb.ecm270.lee.minches.t-flac16\jgb1984-01-13d1t001.flac|tuning
D:\Jerry Garcia\1984\jg1984-01-13.032037.jgb.ecm270.lee.minches.t-flac16\jgb1984-01-13d1t002.flac|How Sweet It Is
D:\Jerry Garcia\1984\jg1984-01-13.032037.jgb.ecm270.lee.minches.t-flac16\jgb1984-01-13d1t003.flac|They Love Each Other
D:\Jerry Garcia\1984\jg1984-01-13.032037.jgb.ecm270.lee.minches.t-flac16\jgb1984-01-13d1t004.flac|I Second That Emotion
