D:\Jerry Garcia\1986\jg1986-01-16.116914.jgjk.sbd.s2.seaweed.flac16\jgjk1986-01-16s2t01.flac|Dire Wolf
D:\Jerry Garcia\1986\jg1986-01-16.116914.jgjk.sbd.s2.seaweed.flac16\jgjk1986-01-16s2t02.flac|Oh Babe It Ain't No Lie
D:\Jerry Garcia\1986\jg1986-01-16.116914.jgjk.sbd.s2.seaweed.flac16\jgjk1986-01-16s2t03.flac|Birdsong
D:\Jerry Garcia\1986\jg1986-01-16.116914.jgjk.sbd.s2.seaweed.flac16\jgjk1986-01-16s2t04.flac|She Belongs to Me
D:\Jerry Garcia\1986\jg1986-01-16.116914.jgjk.sbd.s2.seaweed.flac16\jgjk1986-01-16s2t05.flac|Ripple
D:\Jerry Garcia\1986\jg1986-01-16.116914.jgjk.sbd.s2.seaweed.flac16\jgjk1986-01-16s2t06.flac|Goodnight Irene
D:\Jerry Garcia\1986\jg1986-01-18.137959.jgjk.aud.unknown.andrewf.flac16\jgjk1986-01-18s1t01.flac|It Takes a Lot to Laugh, It Takes a Train to Cry
D:\Jerry Garcia\1986\jg1986-01-18.137959.jgjk.aud.unknown.andrewf.flac16\jgjk1986-01-18s1t02.flac|Friend of the Devil
D:\Jerry Garcia\1986\jg1986-01-18.137959.jgjk.aud.unknown.andrewf.flac16\jgjk1986-01-18s1t03.flac|Oh Babe It Ain't No Lie
D:\Jerry Garcia\1986\jg1986-01-18.137959.jgjk.aud.unknown.andrewf.flac16\jgjk1986-01-18s1t04.flac|Little Sadie
D:\Jerry Garcia\1986\jg1986-01-18.137959.jgjk.aud.unknown.andrewf.flac16\jgjk1986-01-18s1t05.flac|Run for the Roses
D:\Jerry Garcia\1986\jg1986-01-18.137959.jgjk.aud.unknown.andrewf.flac16\jgjk1986-01-18s1t06.flac|To Lay Me Down
D:\Jerry Garcia\1986\jg1986-01-18.137959.jgjk.aud.unknown.andrewf.flac16\jgjk1986-01-18s1t07.flac|Deep Elem Blues
D:\Jerry Garcia\1986\jg1986-01-18.137959.jgjk.aud.unknown.andrewf.flac16\jgjk1986-01-18s2t01.flac|When I Paint My Masterpiece
D:\Jerry Garcia\1986\jg1986-01-18.137959.jgjk.aud.unknown.andrewf.flac16\jgjk1986-01-18s2t02.flac|I've Been All Around this World
D:\Jerry Garcia\1986\jg1986-01-18.137959.jgjk.aud.unknown.andrewf.flac16\jgjk1986-01-18s2t03.flac|Jack-a-Roe
D:\Jerry Garcia\1986\jg1986-01-18.137959.jgjk.aud.unknown.andrewf.flac16\jgjk1986-01-18s2t04.flac|Birdsong
D:\Jerry Garcia\1986\jg1986-01-18.137959.jgjk.aud.unknown.andrewf.flac16\jgjk1986-01-18s2t05.flac|She Belongs to Me
D:\Jerry Garcia\1986\jg1986-01-18.137959.jgjk.aud.unknown.andrewf.flac16\jgjk1986-01-18s2t06.flac|Ripple
D:\Jerry Garcia\1986\jg1986-01-18.137959.jgjk.aud.unknown.andrewf.flac16\jgjk1986-01-18s2t07.flac|Goodnight Irene
D:\Jerry Garcia\1986\jg1986-01-24.138168.jgjk.aud.unknonw.andrewf.flac16\jgjk1986-01-24s1t01.flac|Deep Elem Blues
D:\Jerry Garcia\1986\jg1986-01-24.138168.jgjk.aud.unknonw.andrewf.flac16\jgjk1986-01-24s1t02.flac|Friend of the Devil
D:\Jerry Garcia\1986\jg1986-01-24.138168.jgjk.aud.unknonw.andrewf.flac16\jgjk1986-01-24s1t03.flac|When I Paint My Masterpiece
D:\Jerry Garcia\1986\jg1986-01-24.138168.jgjk.aud.unknonw.andrewf.flac16\jgjk1986-01-24s1t04.flac|Little Sadie
D:\Jerry Garcia\1986\jg1986-01-24.138168.jgjk.aud.unknonw.andrewf.flac16\jgjk1986-01-24s1t05.flac|Spike Driver Blues
D:\Jerry Garcia\1986\jg1986-01-24.138168.jgjk.aud.unknonw.andrewf.flac16\jgjk1986-01-24s1t06.flac|Jackaroe
D:\Jerry Garcia\1986\jg1986-01-24.138168.jgjk.aud.unknonw.andrewf.flac16\jgjk1986-01-24s1t07.flac|Run for the Roses
D:\Jerry Garcia\1986\jg1986-01-24.138168.jgjk.aud.unknonw.andrewf.flac16\jgjk1986-01-24s2t01.flac|Dire Wolf
D:\Jerry Garcia\1986\jg1986-01-24.138168.jgjk.aud.unknonw.andrewf.flac16\jgjk1986-01-24s2t02.flac|To Lay Me Down
D:\Jerry Garcia\1986\jg1986-01-24.138168.jgjk.aud.unknonw.andrewf.flac16\jgjk1986-01-24s2t03.flac|I've Been All Around this World
D:\Jerry Garcia\1986\jg1986-01-24.138168.jgjk.aud.unknonw.andrewf.flac16\jgjk1986-01-24s2t04.flac|Birdsong
D:\Jerry Garcia\1986\jg1986-01-24.138168.jgjk.aud.unknonw.andrewf.flac16\jgjk1986-01-24s2t05.flac|Ripple (cut)
D:\Jerry Garcia\1986\jg1986-01-24.138168.jgjk.aud.unknonw.andrewf.flac16\jgjk1986-01-24s2t06.flac|Goodnight Irene
D:\Jerry Garcia\1986\jg1986-01-25.126711.jgjk.at835+akgD12e.ackerman.flac16\jg&jk1986-01-25s1t01.flac|Crowd & Tuning
D:\Jerry Garcia\1986\jg1986-01-25.126711.jgjk.at835+akgD12e.ackerman.flac16\jg&jk1986-01-25s1t02.flac|It Takes a Lot to Laugh, It Takes a Train to Cry
D:\Jerry Garcia\1986\jg1986-01-25.126711.jgjk.at835+akgD12e.ackerman.flac16\jg&jk1986-01-25s1t03.flac|Little Sadie
D:\Jerry Garcia\1986\jg1986-01-25.126711.jgjk.at835+akgD12e.ackerman.flac16\jg&jk1986-01-25s1t04.flac|Oh Babe It Ain't No Lie
D:\Jerry Garcia\1986\jg1986-01-25.126711.jgjk.at835+akgD12e.ackerman.flac16\jg&jk1986-01-25s1t05.flac|Deep Elem Blues
D:\Jerry Garcia\1986\jg1986-01-25.126711.jgjk.at835+akgD12e.ackerman.flac16\jg&jk1986-01-25s1t06.flac|Simple Twist of Fate
D:\Jerry Garcia\1986\jg1986-01-25.126711.jgjk.at835+akgD12e.ackerman.flac16\jg&jk1986-01-25s2t01.flac|Dire Wolf
D:\Jerry Garcia\1986\jg1986-01-25.126711.jgjk.at835+akgD12e.ackerman.flac16\jg&jk1986-01-25s2t02.flac|Spike Driver Blues
D:\Jerry Garcia\1986\jg1986-01-25.126711.jgjk.at835+akgD12e.ackerman.flac16\jg&jk1986-01-25s2t03.flac|Jack-a-Roe
D:\Jerry Garcia\1986\jg1986-01-25.126711.jgjk.at835+akgD12e.ackerman.flac16\jg&jk1986-01-25s2t04.flac|Bird Song
D:\Jerry Garcia\1986\jg1986-01-25.126711.jgjk.at835+akgD12e.ackerman.flac16\jg&jk1986-01-25s2t05.flac|Ripple
D:\Jerry Garcia\1986\jg1986-01-25.126711.jgjk.at835+akgD12e.ackerman.flac16\jg&jk1986-01-25s2t06.flac|Goodnight Irene
D:\Jerry Garcia\1986\jg1986-01-25.141501.jgjk.at835.akgd12e.ackerman.miller.clugston.t-flac16\jgjk1986-01-25 t01 It Takes Alot To Laugh, It Takes A Train To Cry.flac|It Takes a Lot to Laugh, It Takes a Train to Cry
D:\Jerry Garcia\1986\jg1986-01-25.141501.jgjk.at835.akgd12e.ackerman.miller.clugston.t-flac16\jgjk1986-01-25 t02 Little Sadie.flac|Little Sadie
D:\Jerry Garcia\1986\jg1986-01-25.141501.jgjk.at835.akgd12e.ackerman.miller.clugston.t-flac16\jgjk1986-01-25 t03 Oh Babe, It Ain't No Lie.flac|Oh Babe, It Ain't No Lie
D:\Jerry Garcia\1986\jg1986-01-25.141501.jgjk.at835.akgd12e.ackerman.miller.clugston.t-flac16\jgjk1986-01-25 t04 Deep Elem Blues.flac|Deep Elem Blues
D:\Jerry Garcia\1986\jg1986-01-25.141501.jgjk.at835.akgd12e.ackerman.miller.clugston.t-flac16\jgjk1986-01-25 t05 Simple Twist Of Fate.flac|Simple Twist of Fate
D:\Jerry Garcia\1986\jg1986-01-25.141501.jgjk.at835.akgd12e.ackerman.miller.clugston.t-flac16\jgjk1986-01-25 t06 Run For The Roses.flac|Run for the Roses
D:\Jerry Garcia\1986\jg1986-01-25.141501.jgjk.at835.akgd12e.ackerman.miller.clugston.t-flac16\jgjk1986-01-25 t07 Dire Wolf.flac|Dire Wolf
D:\Jerry Garcia\1986\jg1986-01-25.141501.jgjk.at835.akgd12e.ackerman.miller.clugston.t-flac16\jgjk1986-01-25 t08 Spike Driver Blues.flac|Spike Driver Blues
D:\Jerry Garcia\1986\jg1986-01-25.141501.jgjk.at835.akgd12e.ackerman.miller.clugston.t-flac16\jgjk1986-01-25 t09 Jack-A-Roe.flac|Jack-A-Roe
D:\Jerry Garcia\1986\jg1986-01-25.141501.jgjk.at835.akgd12e.ackerman.miller.clugston.t-flac16\jgjk1986-01-25 t10 Bird Song.flac|Bird Song
D:\Jerry Garcia\1986\jg1986-01-25.141501.jgjk.at835.akgd12e.ackerman.miller.clugston.t-flac16\jgjk1986-01-25 t11 Ripple.flac|Ripple
D:\Jerry Garcia\1986\jg1986-01-25.141501.jgjk.at835.akgd12e.ackerman.miller.clugston.t-flac16\jgjk1986-01-25 t12 Goodnight, Irene.flac|Goodnight Irene
D:\Jerry Garcia\1986\jg1986-01-27.004386.jgjk.sbd.cole.sbeok.t-flac16\jgb86-01-27t01.flac|Deep Elem Blues
D:\Jerry Garcia\1986\jg1986-01-27.004386.jgjk.sbd.cole.sbeok.t-flac16\jgb86-01-27t02.flac|Little Sadie
D:\Jerry Garcia\1986\jg1986-01-27.004386.jgjk.sbd.cole.sbeok.t-flac16\jgb86-01-27t03.flac|Friend of the Devil
D:\Jerry Garcia\1986\jg1986-01-27.004386.jgjk.sbd.cole.sbeok.t-flac16\jgb86-01-27t04.flac|Oh Babe It Ain't No Lie
D:\Jerry Garcia\1986\jg1986-01-27.004386.jgjk.sbd.cole.sbeok.t-flac16\jgb86-01-27t05.flac|When I Paint My Masterpiece
D:\Jerry Garcia\1986\jg1986-01-27.004386.jgjk.sbd.cole.sbeok.t-flac16\jgb86-01-27t06.flac|Run for the Roses
D:\Jerry Garcia\1986\jg1986-01-27.004386.jgjk.sbd.cole.sbeok.t-flac16\jgb86-01-27t07.flac|Dire Wolf
D:\Jerry Garcia\1986\jg1986-01-27.004386.jgjk.sbd.cole.sbeok.t-flac16\jgb86-01-27t08.flac|Simple Twist of Fate
D:\Jerry Garcia\1986\jg1986-01-27.004386.jgjk.sbd.cole.sbeok.t-flac16\jgb86-01-27t09.flac|Spike Driver Blues
D:\Jerry Garcia\1986\jg1986-01-27.004386.jgjk.sbd.cole.sbeok.t-flac16\jgb86-01-27t10.flac|Bird Song
D:\Jerry Garcia\1986\jg1986-01-27.004386.jgjk.sbd.cole.sbeok.t-flac16\jgb86-01-27t11.flac|Ripple
D:\Jerry Garcia\1986\jg1986-01-27.004386.jgjk.sbd.cole.sbeok.t-flac16\jgb86-01-27t12.flac|Goodnight Irene
D:\Jerry Garcia\1986\jg1986-01-27.132179.jgjk.aud.unknown.JB-Keo.flac16\jg1986-01-27.Unk.t01.flac|Deep Elem Blues
D:\Jerry Garcia\1986\jg1986-01-27.132179.jgjk.aud.unknown.JB-Keo.flac16\jg1986-01-27.Unk.t02.flac|Little Sadie
D:\Jerry Garcia\1986\jg1986-01-27.132179.jgjk.aud.unknown.JB-Keo.flac16\jg1986-01-27.Unk.t03.flac|Friend Of The Devil
D:\Jerry Garcia\1986\jg1986-01-27.132179.jgjk.aud.unknown.JB-Keo.flac16\jg1986-01-27.Unk.t04.flac|Oh Babe It Ain't No Lie
D:\Jerry Garcia\1986\jg1986-01-27.132179.jgjk.aud.unknown.JB-Keo.flac16\jg1986-01-27.Unk.t05.flac|When I Paint My Masterpiece
D:\Jerry Garcia\1986\jg1986-01-27.132179.jgjk.aud.unknown.JB-Keo.flac16\jg1986-01-27.Unk.t06.flac|Run For The Roses, Set Break
D:\Jerry Garcia\1986\jg1986-01-27.132179.jgjk.aud.unknown.JB-Keo.flac16\jg1986-01-27.Unk.t07.flac|Tuning
D:\Jerry Garcia\1986\jg1986-01-27.132179.jgjk.aud.unknown.JB-Keo.flac16\jg1986-01-27.Unk.t08.flac|Dire Wolf
D:\Jerry Garcia\1986\jg1986-01-27.132179.jgjk.aud.unknown.JB-Keo.flac16\jg1986-01-27.Unk.t09.flac|Simple Twist Of Fate
D:\Jerry Garcia\1986\jg1986-01-27.132179.jgjk.aud.unknown.JB-Keo.flac16\jg1986-01-27.Unk.t10.flac|Spike Driver Blues
D:\Jerry Garcia\1986\jg1986-01-27.132179.jgjk.aud.unknown.JB-Keo.flac16\jg1986-01-27.Unk.t11.flac|Bird Song
