D:\Jerry Garcia\1971\jg1971-02-18.025813.nrps.sony.fradin.weiner.sbeok.t-flac16\nrps1971-02-18t05.flac|Lochinvar
D:\Jerry Garcia\1971\jg1971-02-18.025813.nrps.sony.fradin.weiner.sbeok.t-flac16\nrps1971-02-18t06.flac|Portland Woman
D:\Jerry Garcia\1971\jg1971-02-18.025813.nrps.sony.fradin.weiner.sbeok.t-flac16\nrps1971-02-18t07.flac|Glendale Train
D:\Jerry Garcia\1971\jg1971-02-18.025813.nrps.sony.fradin.weiner.sbeok.t-flac16\nrps1971-02-18t08.flac|Tonight the Bottle Let Me Down
D:\Jerry Garcia\1971\jg1971-02-18.025813.nrps.sony.fradin.weiner.sbeok.t-flac16\nrps1971-02-18t09.flac|Last Lonely Eagle
D:\Jerry Garcia\1971\jg1971-02-18.025813.nrps.sony.fradin.weiner.sbeok.t-flac16\nrps1971-02-18t10.flac|Louisiana Lady
D:\Jerry Garcia\1971\jg1971-02-18.025813.nrps.sony.fradin.weiner.sbeok.t-flac16\nrps1971-02-18t11.flac|Honky Tonk Woman
D:\Jerry Garcia\1971\jg1971-02-18.123872.nrps.aud.cooper.berger.sbeok.t-flac16\nrps1971-02-18d1t01.flac|Six Days on the Road
D:\Jerry Garcia\1971\jg1971-02-18.123872.nrps.aud.cooper.berger.sbeok.t-flac16\nrps1971-02-18d1t02.flac|I Don't Know You
D:\Jerry Garcia\1971\jg1971-02-18.123872.nrps.aud.cooper.berger.sbeok.t-flac16\nrps1971-02-18d1t03.flac|Watcha Gonna Do
D:\Jerry Garcia\1971\jg1971-02-18.123872.nrps.aud.cooper.berger.sbeok.t-flac16\nrps1971-02-18d1t04.flac|Henry
D:\Jerry Garcia\1971\jg1971-02-18.123872.nrps.aud.cooper.berger.sbeok.t-flac16\nrps1971-02-18d1t05.flac|band introductions
D:\Jerry Garcia\1971\jg1971-02-18.123872.nrps.aud.cooper.berger.sbeok.t-flac16\nrps1971-02-18d1t06.flac|Lochinvar
D:\Jerry Garcia\1971\jg1971-02-18.123872.nrps.aud.cooper.berger.sbeok.t-flac16\nrps1971-02-18d1t07.flac|Portland Woman
D:\Jerry Garcia\1971\jg1971-02-18.123872.nrps.aud.cooper.berger.sbeok.t-flac16\nrps1971-02-18d1t08.flac|Glendale Train
D:\Jerry Garcia\1971\jg1971-02-18.123872.nrps.aud.cooper.berger.sbeok.t-flac16\nrps1971-02-18d1t09.flac|The Bottle Let Me Down
