D:\Jerry Garcia\1992\92_text_files\jg1992-02-07.004363.jgb.fob-schoeps.unknown.aj.t-flac16\jgb92-02-07d1t01.flac|Cats Under the Stars
D:\Jerry Garcia\1992\92_text_files\jg1992-02-07.004363.jgb.fob-schoeps.unknown.aj.t-flac16\jgb92-02-07d1t02.flac|He Ain't Give You None
D:\Jerry Garcia\1992\92_text_files\jg1992-02-07.004363.jgb.fob-schoeps.unknown.aj.t-flac16\jgb92-02-07d1t03.flac|Money Honey
D:\Jerry Garcia\1992\92_text_files\jg1992-02-07.004363.jgb.fob-schoeps.unknown.aj.t-flac16\jgb92-02-07d1t04.flac|Lazybones
D:\Jerry Garcia\1992\92_text_files\jg1992-02-07.004363.jgb.fob-schoeps.unknown.aj.t-flac16\jgb92-02-07d1t05.flac|Run for the Roses
D:\Jerry Garcia\1992\92_text_files\jg1992-02-07.004363.jgb.fob-schoeps.unknown.aj.t-flac16\jgb92-02-07d1t06.flac|My Sisters and Brothers
D:\Jerry Garcia\1992\92_text_files\jg1992-02-07.004363.jgb.fob-schoeps.unknown.aj.t-flac16\jgb92-02-07d1t07.flac|Senor
D:\Jerry Garcia\1992\92_text_files\jg1992-02-07.004363.jgb.fob-schoeps.unknown.aj.t-flac16\jgb92-02-07d1t08.flac|Deal
D:\Jerry Garcia\1992\92_text_files\jg1992-02-07.004363.jgb.fob-schoeps.unknown.aj.t-flac16\jgb92-02-07d2t01.flac|Shining Star
D:\Jerry Garcia\1992\92_text_files\jg1992-02-07.004363.jgb.fob-schoeps.unknown.aj.t-flac16\jgb92-02-07d2t02.flac|Waiting for a Miracle
D:\Jerry Garcia\1992\92_text_files\jg1992-02-07.004363.jgb.fob-schoeps.unknown.aj.t-flac16\jgb92-02-07d2t03.flac|Think
D:\Jerry Garcia\1992\92_text_files\jg1992-02-07.004363.jgb.fob-schoeps.unknown.aj.t-flac16\jgb92-02-07d2t04.flac|Ain't No Bread in the Breadbox
D:\Jerry Garcia\1992\92_text_files\jg1992-02-07.004363.jgb.fob-schoeps.unknown.aj.t-flac16\jgb92-02-07d2t05.flac|Struggling Man
D:\Jerry Garcia\1992\92_text_files\jg1992-02-07.004363.jgb.fob-schoeps.unknown.aj.t-flac16\jgb92-02-07d2t06.flac|Evangeline
D:\Jerry Garcia\1992\92_text_files\jg1992-02-07.004363.jgb.fob-schoeps.unknown.aj.t-flac16\jgb92-02-07d2t07.flac|Lay Down Sally
D:\Jerry Garcia\1992\92_text_files\jg1992-02-07.004363.jgb.fob-schoeps.unknown.aj.t-flac16\jgb92-02-07d2t08.flac|What a Wonderful World
D:\Jerry Garcia\1992\jg1992-02-07.jgb.GEMS.FOB.BrenneckeYoung.97987.flac16\jgb1992-02-07.GEMS.track01.flac|Crowd
D:\Jerry Garcia\1992\jg1992-02-07.jgb.GEMS.FOB.BrenneckeYoung.97987.flac16\jgb1992-02-07.GEMS.track02.flac|Cats Down Under The Stars
D:\Jerry Garcia\1992\jg1992-02-07.jgb.GEMS.FOB.BrenneckeYoung.97987.flac16\jgb1992-02-07.GEMS.track03.flac|Crowd
D:\Jerry Garcia\1992\jg1992-02-07.jgb.GEMS.FOB.BrenneckeYoung.97987.flac16\jgb1992-02-07.GEMS.track04.flac|He Ain't Give You None
D:\Jerry Garcia\1992\jg1992-02-07.jgb.GEMS.FOB.BrenneckeYoung.97987.flac16\jgb1992-02-07.GEMS.track05.flac|Crowd
D:\Jerry Garcia\1992\jg1992-02-07.jgb.GEMS.FOB.BrenneckeYoung.97987.flac16\jgb1992-02-07.GEMS.track06.flac|Money Honey
D:\Jerry Garcia\1992\jg1992-02-07.jgb.GEMS.FOB.BrenneckeYoung.97987.flac16\jgb1992-02-07.GEMS.track07.flac|Lazy Bones
D:\Jerry Garcia\1992\jg1992-02-07.jgb.GEMS.FOB.BrenneckeYoung.97987.flac16\jgb1992-02-07.GEMS.track08.flac|Crowd
D:\Jerry Garcia\1992\jg1992-02-07.jgb.GEMS.FOB.BrenneckeYoung.97987.flac16\jgb1992-02-07.GEMS.track09.flac|Run for the Roses
D:\Jerry Garcia\1992\jg1992-02-07.jgb.GEMS.FOB.BrenneckeYoung.97987.flac16\jgb1992-02-07.GEMS.track10.flac|Sisters and Brothers
D:\Jerry Garcia\1992\jg1992-02-07.jgb.GEMS.FOB.BrenneckeYoung.97987.flac16\jgb1992-02-07.GEMS.track11.flac|Senor >
D:\Jerry Garcia\1992\jg1992-02-07.jgb.GEMS.FOB.BrenneckeYoung.97987.flac16\jgb1992-02-07.GEMS.track12.flac|Deal
