D:\Jerry Garcia\1973\jg1973-01-15.009573.jgms.sbd.kmiller.sbeok.t-flac16\Garcia&Saunders73-01-15d101.flac|Hi-Heel Sneakers
D:\Jerry Garcia\1973\jg1973-01-15.009573.jgms.sbd.kmiller.sbeok.t-flac16\Garcia&Saunders73-01-15d102.flac|Expressway to Your Heart
D:\Jerry Garcia\1973\jg1973-01-15.009573.jgms.sbd.kmiller.sbeok.t-flac16\Garcia&Saunders73-01-15d103.flac|Lonely Avenue
D:\Jerry Garcia\1973\jg1973-01-15.009573.jgms.sbd.kmiller.sbeok.t-flac16\Garcia&Saunders73-01-15d104.flac|Find a Rainbow
D:\Jerry Garcia\1973\jg1973-01-15.009573.jgms.sbd.kmiller.sbeok.t-flac16\Garcia&Saunders73-01-15d105.flac|Georgia on My Mind
D:\Jerry Garcia\1973\jg1973-01-15.009573.jgms.sbd.kmiller.sbeok.t-flac16\Garcia&Saunders73-01-15d106.flac|Honey Chile
D:\Jerry Garcia\1973\jg1973-01-15.009573.jgms.sbd.kmiller.sbeok.t-flac16\Garcia&Saunders73-01-15d201.flac|I Second That Emotion
D:\Jerry Garcia\1973\jg1973-01-15.009573.jgms.sbd.kmiller.sbeok.t-flac16\Garcia&Saunders73-01-15d202.flac|Soul Roach
D:\Jerry Garcia\1973\jg1973-01-15.009573.jgms.sbd.kmiller.sbeok.t-flac16\Garcia&Saunders73-01-15d203.flac|I Was Made to Love Her
D:\Jerry Garcia\1973\jg1973-01-15.009573.jgms.sbd.kmiller.sbeok.t-flac16\Garcia&Saunders73-01-15d204.flac|Go Climb a Mountain/Summertime
D:\Jerry Garcia\1973\jg1973-01-15.009573.jgms.sbd.kmiller.sbeok.t-flac16\Garcia&Saunders73-01-15d205.flac|That's All Right
D:\Jerry Garcia\1973\jg1973-01-15.009573.jgms.sbd.kmiller.sbeok.t-flac16\Garcia&Saunders73-01-15d206.flac|Money Honey
D:\Jerry Garcia\1973\jg1973-01-19.099636.jgms.sbd.betty.t-flac16\jg1973-01-19-d1t01.flac|Dancing in the Moonlight
D:\Jerry Garcia\1973\jg1973-01-19.099636.jgms.sbd.betty.t-flac16\jg1973-01-19-d1t02.flac|Lonely Avenue
D:\Jerry Garcia\1973\jg1973-01-19.099636.jgms.sbd.betty.t-flac16\jg1973-01-19-d1t03.flac|Expressway to Your Heart
D:\Jerry Garcia\1973\jg1973-01-19.099636.jgms.sbd.betty.t-flac16\jg1973-01-19-d1t04.flac|I Know It's a Sin
D:\Jerry Garcia\1973\jg1973-01-19.099636.jgms.sbd.betty.t-flac16\jg1973-01-19-d2t01.flac|The System
D:\Jerry Garcia\1973\jg1973-01-19.099636.jgms.sbd.betty.t-flac16\jg1973-01-19-d2t02.flac|Honey Chile
D:\Jerry Garcia\1973\jg1973-01-19.099636.jgms.sbd.betty.t-flac16\jg1973-01-19-d2t03.flac|It Takes a Lot to Laugh, It Takes a Train to Cry
D:\Jerry Garcia\1973\jg1973-01-19.099636.jgms.sbd.betty.t-flac16\jg1973-01-19-d2t04.flac|Find a Rainbow
D:\Jerry Garcia\1973\jg1973-01-19.099636.jgms.sbd.betty.t-flac16\jg1973-01-19-d2t05.flac|Georgia on My Mind
